keys,vi,en
@START_GAME,BẮT ĐẦU,START GAME
@CONFIRM,Đồng ý,Confirm
@CANCEL,Hủy bỏ,Cancel
@SETTINGS,Cài Đặt,Settings
@QUIT,Thoát,Quit
@HELP,Hướng Dẫn,Help
@SKIP,Bỏ qua,Skip
@BACK,< Quay lại,< Back
@EXPEDITION,Viễn chinh !!!,Expedition !!!
@UPGRADE,"Nâng cấp",Upgrade
@RANKING,Bảng xếp hạng,Rankings
@UNLOCK,Mở khóa,Unlock
@STORE,Cửa hàng,Store
@DOG_BASE_TITLE,Căn cứ Chó - Hành tinh Doggo,Dog Base - Planet Doggo
@PLANET_DOGGO,Hành tinh Doggo,Planet Doggo
@BONE,Xương,Bone
@DOG_FOOD,Thức ăn cho Chó,Dog Food
@ATTACK,TẤN CÔNG!,ATTACK!
@TEAM_SETUP,Thiết lập đội hình,Team setup
@CHARACTERS,Nhân vật,Characters
@SKILLS,Kỹ năng,Skills
@PASSIVES,Nội tại,Passives
@INFORMATION,Thông tin,Information
@PAUSE,Tạm dừng,Pause
@EXIT_BATTLE,Thoát trận đấu,Espace battle
@EXIT_TO_MAIN_MENU,Về màn mình chính,Exit to main menu
@VICTORY,Chiến Thắng!,Victory!
@DEFEAT,Thất bại...,Defeat...
@BACK_TO_DOG_BASE,Về căn cứ,Back to Dog Base
@LIST,Danh sách,List
@MUSIC,Nhạc,Music
@SFX,Hiệu ứng âm thanh,Sound effects
@SAVE,Lưu,Save
@LANGUAGE,Ngôn ngữ,Language
@FULLSCREEN_ON_STARTUP,Mở toàn màn hình lúc khởi động game,Fullscreen on startup
@DELETE_SAVE_DATA,Xóa dữ liệu tiến độ game,Delete save data
@CONFIRM_DELETE_SAVE,Bạn có thật sự muốn xóa dữ liệu tiến độ game? Hành động này không thể hoàn tác được.\n(Cuộc phiêu lưu của bạn và những chú Chó kể từ thời điểm này sẽ bị xóa khỏi thế giới...),Are you sure you want to delete the game save data? This action is not reversible.\n(Your journey with the Dogkind as of now will be erased from existance...)
@KEY_BINDING_SETTINGS,Điều khiển,Key binding
@BIND,Sửa phím cho,Bind
@KEY_BINDING_INSTRUCTION,Bấm phím mong muốn,Press key to bind
@RESET_TO_DEFAULT,Khôi phục về mặc định,Reset to default
@CONFIRM_RESET_KEY_BINDING_SETTINGS,Bạn chắc chắn muốn khôi phục cài đặt phím tắt về mặc định chứ?,Are you sure you want to reset key binding settings to default?
@KEY_ui_fullscreen,Mở game toàn màn hình,Toggle fullscreen
@KEY_ui_confirm,Đồng ý,Confirm
@KEY_ui_cancel,Hủy,Cancel
@KEY_ui_zoomout,Thu nhỏ,Zoom out
@KEY_ui_zoomin,Phóng to,Zoom in
@KEY_ui_switch_row,Đổi hàng triệu hồi Chó,Switch Dog summoning row
@KEY_ui_spawn_1,Triệu hồi Chó 1,Summon Dog 1
@KEY_ui_spawn_2,Triệu hồi Chó 2,Summon Dog 2
@KEY_ui_spawn_3,Triệu hồi Chó 3,Summon Dog 3
@KEY_ui_spawn_4,Triệu hồi Chó 4,Summon Dog 4
@KEY_ui_spawn_5,Triệu hồi Chó 5,Summon Dog 5
@KEY_ui_skill_1,Dùng kỹ năng 1,Perform Skill 1
@KEY_ui_skill_2,Dùng kỹ năng 2,Perform Skill 2
@KEY_ui_skill_3,Dùng kỹ năng 3,Perform Skill 3
@KEY_ui_upgrade_efficiency,Nâng cấp năng suất lao động,Upgrade money generation efficiency
@KEY_ui_switch_time_scale,Chuyển đổi tốc độ trận đấu,Toggle game speed (in battle)
@KEY_ui_pause,Tạm dừng trận đấu,Pause game
@TOGGLE_MUSIC,Tắt/Mở nhạc nền,Toggle music
@TOGGLE_SFX,Tắt/Mở hiệu ứng âm thanh,Toggle sound effects
@RECEIVED,Nhận được,Received
@CREDIT,Credits,Credits
@CREDIT_MADE_BY,Game được phát triển bởi:,Created By:
@CREDIT_CMB,"Lập trình, Đồ họa, Hoạt hình","Programming, Art, Animations"
@CREDIT_TAK,"Lập trình, Kiếm resource cho game","Programming, Resource Finding"
@CREDIT_SPECIAL_THANKS,Special Thanks dành cho:,Special Thanks to:
@CREDIT_MUSMUS,MusMus (musmus.main.jp) cung cấp BGM miễn phí cho game,MusMus (musmus.main.jp) for providing free BGMs for the game
@CREDIT_MIXKIT,Mixkit (mixkit.co) cung cấp sound effect miễn phí cho game,MusMus (musmus.main.jp) for providing free sound effects for the game
@CREDIT_PIXABAY,Pixabay (pixabay.com) cung cấp sound effect miễn phí cho game,Pixabay (pixabay.com) for providing free sound effects for the game
@CREDIT_RIGOR_MORTIS,"Rigor Mortis: Test game, góp ý và gợi ý tưởng cho game","Rigor Mortis: Testing out the game, provide feedback and ideas for the game"
@LEVEL_1_NAME,Doggonamu,Doggonamu
@LEVEL_2_NAME,Cẩupuchia,Dogbodia
@LEVEL_3_NAME,Xích Cẩu,Crimsom Hound
@LEVEL_4_NAME,Ci Llanfairpwllgwyngyll,Ci Llanfairpwllgwyngyll
@LEVEL_5_NAME,Đảo Cún ,Dogstralia
@LEVEL_6_NAME,Núi Đại Cốt,Mt. Big Bone
@LEVEL_7_NAME,Vùng Đất Băng Chết,Land of Freezing Death
@LEVEL_8_NAME,Đường Vô Tận,Endless Road
@LEVEL_9_NAME,Biên Giới Doggo,Doggo Boundary
@LEVEL_10_NAME,Vịnh Đảo D.O.G,D.O.G Bay
@LEVEL_11_NAME,N.E.K.O HQ,N.E.K.O HQ
@LEVEL_12_NAME,Đảo Mèo,Cat Island
@LEVEL_13_NAME,Sào Huyệt Loài Mèo,Catkind Lair
@LANGUAGE_PREFERENCE,Chọn ngôn ngữ,Select Language
@FULLSCREEN_PREFERENCE,Bạn có muốn game ở chế độ toàn màn hình?,Do you want the game to be in fullscreen?
@PLAY_TUTORIAL,Bạn có muốn chú Chó dễ thương này hướng dẫn bạn cách chơi game không?,Do you want this cute Dog to show you how to play the game?
@PLAY_TUTORIAL_YES,Có chứ (Tôi rất thích chó!),Yes please (I love dogs!)
@PLAY_TUTORIAL_NO,Không (Tôi có chơi game này rồi),Nah (I have played this game before)
@YES,Có,Yes
@NO,Không,No
@OK,Ok,Ok
@NEED_LOGGED_IN_WITH_STEAM,Chỉ chơi được nếu bạn đã đăng nhập vào tài khoản Steam,Only available if you are logged in with Steam
@HIGHSCORE,Điểm ,High score
@FASTESTTIME,Thời gian,Time score
@HIGHSCORE_DESCRIPTION,Bảng xếp hạng người chơi có số điểm online cao nhất,Ranking table of players with the highest online score
@FASTESTTIME_DESCRIPTION,Bảng xếp hạng người chơi hoàn thành màn cuối với thời gian nhanh nhất,Ranking table of players completing the final stage with the fastest time
@NO,Có,Yes
@SELECT_PLAYER_DATA?,Bạn có muốn sử dụng dữ liệu từ Steam hay không (Lưu ý: hành động này sẽ xóa dữ hiện có trong máy tính của bạn),Do you like to use data from Steam (This action will delete data from your computer)
@VICTORYCOUNT,Hoàn thành,Victory
